STATEFP,PUMA5CE,PUMANAME,pumacode
26,02102,Kalamazoo County (Central)--Kalamazoo & Portage Cities Area,2602102
26,02200,St. Joseph & Branch Counties,2602200
26,02300,Van Buren & Cass Counties,2602300
26,02400,Berrien County,2602400
26,02500,Lenawee & Hillsdale Counties,2602500
26,02600,Jackson County,2602600
26,02701,"Washtenaw County (West, Northeast & Southeast)",2602701
26,02702,Washtenaw County (East Central)--Ann Arbor City Area,2602702
26,02703,"Washtenaw County (East Central, Outside Ann Arbor City)",2602703
26,02800,Livingston County,2602800
26,02901,Oakland County (West),2602901
26,02902,Oakland County (Northeast),2602902
26,02903,Oakland County (East Central)--Troy & Rochester Area,2602903
26,02904,Oakland County (Central),2602904
26,02905,Oakland County (Southwest),2602905
26,02906,Oakland County (Central)--Birmingham & Bloomfield Area,2602906
26,02907,Oakland County (South Central)--Farmington & Southfield Area,2602907
26,02908,Oakland County (Southeast),2602908
26,03001,Macomb County (North),2603001
26,03002,Macomb County (Central),2603002
26,03003,Macomb County (Southwest)--Sterling Heights City,2603003
26,03004,Macomb County (Southeast)--Mount Clemens & Fraser Area,2603004
26,03005,"Macomb County (Southeast)--St. Clair Shores, Roseville & Eastpointe Area",2603005
26,03006,Macomb County (Southwest)--Warren & Center Line Cities,2603006
26,03100,St. Clair County,2603100
26,03201,Wayne County (Northwest),2603201
26,03202,Wayne County (North Central)--Livonia City & Redford Charter Township,2603202
26,03203,Wayne County (Central)--Dearborn & Dearborn Heights Cities,2603203
26,03204,"Wayne County (Central)--Westland, Garden City, Inkster & Wayne Cities",2603204
26,03205,Wayne County (Southwest),2603205
26,03206,Wayne County (Southeast)--Downriver Area (South),2603206
26,03207,Wayne County (Southeast)--Downriver Area (North),2603207
26,03208,Detroit City (Northwest),2603208
26,03209,Detroit City (North Central),2603209
26,03210,Detroit City (Northeast),2603210
26,03211,Detroit City (South Central & Southeast),2603211
26,03212,Detroit City (Southwest),2603212
26,03213,Wayne County (Northeast)--I-94 Corridor,2603213
26,03300,Monroe County,2603300
27,00100,"Clay, Polk, Roseau, Pennington, Marshall, Norman, Kittson & Red Lake Counties",2700100
27,00200,"Beltrami, Becker, Hubbard, Clearwater, Mahnomen & Lakeofthe Woods Counties",2700200
27,00300,"Itasca, Carlton (South), Cass & Aitkin Counties--Grand Rapids City",2700300
27,00400,"St. Louis (North), Koochiching, Lake & Cook Counties--Hibbing & Cloquet Cities",2700400
27,00500,"St. Louis County (Southeast)--Duluth, Hermantown & Proctor Cities",2700500
27,00600,"Chisago, Isanti, Pine, Mille Lacs & Kanabec Counties",2700600
27,00700,"Crow Wing, Morrison, Todd & Wadena Counties",2700700
27,00800,West Central Minnesota,2700800
27,00900,Stearns County--St. Cloud City,2700900
27,01000,Sherburne & Benton Counties,2701000
27,01101,"Anoka County (Northwest)--Andover, Ramsey, Anoka & East Bethel Cities",2701101
27,01102,"Anoka County (Southwest)--Coon Rapids, Fridley & Columbia Heights Cities",2701102
27,01103,"Anoka County (East)--Blaine, Lino Lakes & Ham Lake Cities",2701103
27,01201,"Washington County (North)--Oakdale, Forest Lake, Stillwater & Hugo Cities",2701201
27,01202,Washington County (South)--Woodbury & Cottage Grove Cities,2701202
27,01301,"Ramsey County (North)--Shoreview, White Bear Lake & New Brighton Cities",2701301
27,01302,"Ramsey County (Central & Far Southeast)--Maplewood, Roseville & North St. Paul Cities",2701302
27,01303,Ramsey County (Southeast)--St. Paul City (East),2701303
27,01304,Ramsey County (Southwest)--St. Paul City (West),2701304
27,01401,"Hennepin County (West)--Champlin, Rogers Cities & Lake Minnetonka",2701401
27,01402,"Hennepin County--Plymouth, Maple Grove (West) & Medicine Lake Cities",2701402
27,01403,"Hennepin County--Brooklyn Park, Maple Grove (East) & Osseo Cities",2701403
27,01404,"Hennepin County--Brooklyn Center, Golden Valley, New Hope & Robbinsdale Cities",2701404
27,01405,Hennepin County--Minneapolis (North) & St. Anthony Cities,2701405
27,01406,Hennepin County--Minneapolis City (Southeast),2701406
27,01407,Hennepin County--Minneapolis City (Southwest),2701407
27,01408,"Hennepin County--Edina, St. Louis Park & Hopkins Cities",2701408
27,01409,Hennepin County--Eden Prairie & Minnetonka Cities,2701409
27,01410,Hennepin County--Bloomington & Richfield Cities,2701410
27,01501,"Dakota County (North)--Eagan, Inver Grove Heights & South St. Paul Cities",2701501
27,01502,"Dakota County (South)--Lakeville, Hastings, Rosemount & Farmington Cities",2701502
27,01503,Dakota County (West)--Burnsville & Apple Valley Cities,2701503
27,01600,"Scott County (East)--Shakopee, Savage & Prior Lake Cities",2701600
27,01700,Carver & Scott (West) Counties,2701700
27,01800,Wright County,2701800
27,01900,"Kandiyohi, Mc Leod, Meeker, Renville & Sibley Counties",2701900
27,02000,"Brown, Lyon, Redwood, Chippewa, Yellow Medicine, Lacqui Parle & Lincoln Counties",2702000
27,02100,Southwest Minnesota,2702100
27,02200,"Blue Earth, Nicollet & Waseca Counties--Mankato City",2702200
27,02300,"Rice, Goodhue & Le Sueur Counties",2702300
27,02400,"Mower, Steele, Freeborn & Dodge Counties",2702400
27,02500,Olmsted County--Rochester City,2702500
27,02600,"Winona, Wabasha, Fillmore & Houston Counties--Winona City",2702600
28,00100,North Delta Region--De Soto County--Southaven City,2800100
28,00200,"Northeast Region--Marshall, Alcorn, Prentiss, Tippah, Tishomingo & Benton Counties",2800200
28,00300,"North Delta Region--Panola, Tate, Coahoma, Tallahatchie, Tunica & Quitman Counties",2800300
28,00400,"Three Rivers Region--Lafayette, Monroe, Itawamba, Chickasaw & Calhoun Counties",2800400
28,00500,"Three Rivers Region--Lee, Pontotoc & Union Counties--Tupelo City",2800500
28,00600,"Golden Triangle Region--Starkville, Columbus & West Point Cities",2800600
28,00700,North Central Region,2800700
28,00800,South Delta Region,2800800
28,00900,Central Region--Madison & Yazoo Counties,2800900
28,01000,Central Region--Jackson (West & South) & Clinton (South & East) Cities,2801000
28,01100,Central Region--Jackson City (East & Central),2801100
28,01200,"Central Region--Hinds (West), Warren & Copiah Counties--Vicksburg City",2801200
28,01300,Central Region--Rankin & Simpson Counties,2801300
28,01400,"East Central Region--Neshoba, Scott, Leake, Jasper, Smith & Kemper Counties",2801400
28,01500,"East Central Region--Lauderdale, Newton & Clarke Counties--Meridian City",2801500
28,01600,Southwest Region,2801600
28,01700,"South Region--Jones, Wayne, Covington, Greene & Jefferson Davis Counties",2801700
28,01800,"South Region--Forrest, Lamar, Marion & Perry Counties--Hattiesburg City",2801800
28,01900,"South Region--Pearl River, Hancock, George & Stone Counties",2801900
28,02000,South Region--Harrison County--Gulfport & Biloxi Cities,2802000
28,02100,South Region--Jackson County,2802100
29,00100,Northwest Missouri,2900100
29,00200,"Buchanan, Andrew & De Kalb Counties",2900200
29,00300,Northeast Missouri,2900300
29,00400,"Lincoln, Warren, Audrain, Pike & Montgomery Counties",2900400
29,00500,"Cole, Callaway, Moniteau & Osage Counties",2900500
29,00600,Boone County,2900600
29,00700,"Pettis, Randolph, Saline, Cooper, Howard, Carroll & Chariton Counties",2900700
29,00800,"Johnson, Lafayette, Ray, Clinton & Caldwell Counties",2900800
29,00901,Clay County (Northeast),2900901
29,00902,"Kansas City (North Central), Gladstone City & North Kansas City",2900902
29,00903,Platte County,2900903
29,01001,Jackson County--Kansas City (Central),2901001
29,01002,Jackson County (North Central),2901002
29,01003,Jackson County (East),2901003
29,01004,Jackson County (South Central),2901004
29,01005,Jackson County--Kansas City (South),2901005
29,01100,Cass & Bates Counties,2901100
29,01200,"Lawrence, Henry, Vernon, Cedar, Barton, St. Clair & Dade Counties",2901200
29,01300,"Laclede, Polk, Benton, Dallas & Hickory Counties",2901300
29,01400,"Pulaski, Camden, Miller & Morgan Counties",2901400
29,01500,"Phelps, Crawford, Dent, Gasconade & Maries Counties",2901500
29,01600,Franklin County,2901600
29,01701,St. Charles County (South),2901701
29,01702,St. Charles County (Northwest),2901702
29,01703,St. Charles County (Northeast),2901703
29,01801,St. Louis County (Northeast),2901801
29,01802,St. Louis County (Northwest),2901802
29,01803,St. Louis County (Inner Ring North),2901803
29,01804,St. Louis County (West),2901804
29,01805,St. Louis County (Central),2901805
29,01806,St. Louis County (Central West),2901806
29,01807,St. Louis County (Inner Ring South),2901807
29,01808,St. Louis County (South),2901808
29,01901,St. Louis City (North),2901901
29,01902,St. Louis City (South),2901902
29,02001,Jefferson County (North),2902001
29,02002,Jefferson County (South),2902002
29,02100,"St. Francois, Washington, Perry & Ste. Genevieve Counties",2902100
29,02200,"Cape Girardeau, Scott & Bollinger Counties",2902200
29,02300,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties",2902300
29,02400,"Butler, Ripley, Wayne, Madison, Iron, Reynolds & Carter Counties",2902400
29,02500,"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties",2902500
29,02601,"Christian, Greene (Outside Springfield City) & Webster Counties",2902601
29,02602,Greene County--Springfield City (North),2902602
29,02603,Greene County--Springfield City (South),2902603
29,02700,"Taney, Barry, Stone & Mc Donald Counties",2902700
29,02800,Jasper & Newton Counties,2902800
30,00100,Northwest Montana--Kalispell City,3000100
30,00200,West Montana--Missoula City,3000200
30,00300,Southwest Montana--Butte-Silver Bow & Helena City,3000300
30,00400,North Central Montana--Great Falls City,3000400
30,00500,South Central Montana--Bozeman City,3000500
30,00600,East Montana (Outside Billings City),3000600
30,00700,Billings City,3000700
31,00100,North Central & Northwest Nebraska,3100100
31,00200,Northeast Nebraska,3100200
31,00300,Central Nebraska,3100300
31,00400,Southwest Nebraska,3100400
31,00500,South Central Nebraska,3100500
31,00600,Southeast Nebraska,3100600
31,00701,"Dodge, Cass, Saunders & Washington Counties",3100701
31,00702,Sarpy County--Bellevue City,3100702
31,00801,Lancaster County--Lincoln City (North),3100801
31,00802,Lancaster County--Lincoln City (South),3100802
31,00901,Douglas County--Omaha City (Northwest),3100901
31,00902,Douglas County--Omaha City (Southwest),3100902
31,00903,Douglas County--Omaha City (Northeast),3100903
31,00904,Douglas County--Omaha City (Southeast),3100904
32,00101,Washoe County (South Central)--Reno City,3200101
32,00102,Washoe County (South),3200102
32,00103,Washoe County (North)--Sparks City,3200103
32,00200,"Carson City, Lyon, Douglas & Storey Counties",3200200
32,00300,Rural Nevada,3200300
32,00401,Clark County (Northwest Central)--Northwest Las Vegas Valley,3200401
32,00402,Clark County (North)--Las Vegas (Northeast) & North Las Vegas (Outer) Cities,3200402
32,00403,Clark County (Central)--Greater North Las Vegas City,3200403
32,00404,"Clark County (East)--Mesquite City, Sunrise Manor (North), Moapa Valley & Nellis AFB",3200404
32,00405,Las Vegas City (Southeast),3200405
32,00406,Las Vegas City (South Central),3200406
32,00407,Clark County (West)--Las Vegas City (Southwest),3200407
32,00408,Clark County (Central)--Spring Valley & Summerlin South,3200408
32,00409,Clark County (Central)--Paradise (Northwest) & Winchester,3200409
32,00410,"Clark County (Central)--Whitney, Sunrise Manor (South) & Paradise (Northeast)",3200410
32,00411,Clark County (Central)--Henderson City (West),3200411
32,00412,Clark County (South)--Henderson (East) & Boulder Cities,3200412
32,00413,Clark County (Central)--Paradise (South) & Enterprise,3200413
33,00100,Northern New Hampshire--Grafton & Coos Counties,3300100
33,00200,"Lakes Region--Belknap, Carroll & Merrimack (Northern) Counties",3300200
33,00300,"Strafford Region--Strafford, Rockingham (Northern) & Carroll (Southeastern) Counties",3300300
33,00400,Central New Hampshire--Merrimack County (Central)--Concord City,3300400
33,00500,Southwestern New Hampshire--Cheshire & Sullivan Counties,3300500
33,00600,Hillsborough County (Western),3300600
33,00700,Outer Manchester City,3300700
33,00800,Manchester City,3300800
33,00900,Hillsborough County (Southeastern)--Greater Nashua City,3300900
33,01000,Seacoast Region--Rockingham County (Southern)--Portsmouth City,3301000
34,00101,Atlantic County (East)--Atlantic City & Ventnor City,3400101
34,00102,Atlantic County (Outside Somers Point City)--Pleasantville City & Hammonton Town,3400102
34,00301,Bergen County (South Central)--Hackensack & Englewood (West) Cities,3400301
34,00302,"Bergen County (Southwest)--Rutherford, North Arlington & Hasbrouck Heights Boroughs",3400302
34,00303,"Bergen County (Southeast)--Fort Lee, Cliffside Park & Palisades Park Boroughs",3400303
34,00304,"Bergen County (West Central)--Fair Lawn Borough, Garfield City & Lodi Borough",3400304
34,00305,"Bergen County (East)--Tenafly, Park Ridge & Cresskill Boroughs",3400305
34,00306,"Bergen County (Northwest)--Ramsey, Oakland & Franklin Lakes Boroughs",3400306
34,00307,"Bergen County (North Central)--Bergenfield, Paramus, Dumont & New Milford Boroughs",3400307
34,00308,"Bergen County (Central)--Ridgewood Village, Glen Rock & Westwood Boroughs",3400308
34,00400,Passaic County (Southeast)--Paterson City,3400400
34,00501,Passaic County (South)--Passaic & Clifton (Southeast) Cities,3400501
34,00502,Passaic County (Central)--Hawthorne Borough & Clifton City (Northwest),3400502
34,00503,"Passaic County (North)--Ringwood, Wanaque & Pompton Lakes Boroughs",3400503
34,00601,Hudson County (Central)--Jersey City (North),3400601
34,00602,Hudson County (Central)--Jersey City (South),3400602
34,00701,"Hudson County (North)--West New York, Secaucus & Guttenberg Towns",3400701
34,00702,Hudson County (Northeast)--Union City & Hoboken Cities,3400702
34,00703,"Hudson County (South & West)--Bayonne City, Kearney & Harrison Towns",3400703
34,00800,Hunterdon County,3400800
34,00901,Middlesex County (Southeast),3400901
34,00902,Middlesex County (Southwest),3400902
34,00903,Middlesex County (Northwest)--South Plainfield & Middlesex Boroughs,3400903
34,00904,Middlesex County (North Central)--Metuchen Borough,3400904
34,00905,Middlesex County (Northeast)--Carteret Borough,3400905
34,00906,"Middlesex County (Central)--New Brunswick City, South River & Highland Park Boroughs",3400906
34,00907,Middlesex County (East Central)--Perth Amboy City & Sayreville Borough,3400907
34,01001,Somerset County (North & West),3401001
34,01002,Somerset County (South),3401002
34,01003,Somerset County (Central)--North Plainfield & Somerville Boroughs,3401003
34,01101,Monmouth County (Southeast)--Tinton Falls Borough (South),3401101
34,01102,Monmouth County (Southwest)--Freehold Borough,3401102
34,01103,"Monmouth County (East Central)--Long Branch, Asbury Park Cities & Eatontown Borough",3401103
34,01104,Monmouth County (Northeast)--Red Bank & Tinton Falls (North) Boroughs,3401104
34,01105,Monmouth County (Northwest)--Keansburg Borough,3401105
34,01106,Monmouth County (Central),3401106
34,01201,Ocean County (South),3401201
34,01202,Ocean County (Central)--Beachwood Borough,3401202
34,01203,Ocean County (North Central),3401203
34,01204,Ocean County (Northwest),3401204
34,01205,Ocean County (Northeast)--Point Pleasant Borough,3401205
34,01301,Essex County (Southeast)--Newark City (North & East),3401301
34,01302,Essex County (Southeast)--Newark City (Southwest),3401302
34,01401,Essex County (Northeast),3401401
34,01402,Essex County (South Central)--East Orange City,3401402
34,01403,Essex County (Northwest),3401403
34,01404,Essex County (Southwest),3401404
34,01501,Morris County (North)--Dover Town & Kinnelon Borough,3401501
34,01502,Morris County (West),3401502
34,01503,Morris County (East)--Lincoln Park Borough,3401503
34,01504,"Morris County (South)--Morristown Town, Madison & Florham Park Boroughs",3401504
34,01600,Sussex County,3401600
34,01700,Warren County,3401700
34,01800,Union County (Northeast)--Elizabeth City,3401800
34,01901,Union County (North Central)--Roselle Park Borough,3401901
34,01902,Union County (Northwest)--Summit City & Westfield Town (North),3401902
34,01903,Union County (Southwest)--Plainfield City & Westfield Town (South),3401903
34,01904,"Union County (Southeast)--Linden, Rahway Cities & Roselle Borough (South)",3401904
34,02001,Burlington County (North)--Burlington City,3402001
34,02002,Burlington County (West Central),3402002
34,02003,Burlington County (South & East),3402003
34,02101,Camden County (North)--Camden & Gloucester Cities,3402101
34,02102,Camden County (Central)--Lindenwold & Collingswood Boroughs,3402102
34,02103,Camden County (South & West)--Bellmawr & Pine Hill Boroughs,3402103
34,02104,Camden County (East Central)--Haddonfield Borough,3402104
34,02201,Gloucester County (Northeast)--Woodbury City,3402201
34,02202,Gloucester County (South & West)--Glassboro Borough,3402202
34,02301,Mercer County (West Central)--Trenton City,3402301
34,02302,Mercer County (North)--Princeton Borough,3402302
34,02303,Mercer County (South),3402303
34,02400,Cumberland County (South)--Vineland & Millville Cities,3402400
34,02500,Salem & Cumberland (North) Counties--Bridgeton City,3402500
34,02600,Cape May & Atlantic (South Central) Counties--Ocean City & Somers Point City,3402600
35,00100,Northwest New Mexico--Navajo Nation,3500100
35,00200,"San Juan County (Northeast)--Farmington, Bloomfield & Aztec Cities",3500200
35,00300,North Central New Mexico,3500300
35,00400,Eastern Plains New Mexico,3500400
35,00500,Santa Fe County,3500500
35,00600,Sandoval County,3500600
35,00700,"Valencia, Bernalillo (East Mountains) Counties & Isleta Pueblo",3500700
35,00801,Albuquerque City (Far Northeast Heights),3500801
35,00802,Albuquerque City (Near Northeast Heights),3500802
35,00803,Albuquerque City (Southeast Heights),3500803
35,00804,Albuquerque City (Central) & Bernalillo County (North Valley),3500804
35,00805,"Albuquerque City (Northwest Mesa), Paradise Hills & Navajo Nation-Tohajiilee Chapter",3500805
35,00806,Albuquerque City (Southwest Mesa) & Bernalillo County (Southwest Mesa & South Valley),3500806
35,00900,Southwest New Mexico,3500900
35,01001,Doña Ana County (Outer),3501001
35,01002,"Doña Ana County (Central)--Las Cruces, Mesilla Cities & University Park",3501002
35,01100,Central Southeast New Mexico,3501100
35,01200,Far Southeast New Mexico,3501200
36,00100,St. Lawrence County,3600100
36,00200,"Clinton, Franklin, Essex & Hamilton Counties",3600200
36,00300,Warren & Washington Counties,3600300
36,00401,Herkimer (North & Central) & Oneida (Outer) Counties,3600401
36,00402,Oneida County (Central)--Greater Utica & Rome Cities,3600402
36,00403,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties",3600403
36,00500,Jefferson & Lewis Counties,3600500
36,00600,Oswego County,3600600
36,00701,Onondaga County (Central)--Syracuse City,3600701
36,00702,Onondaga County (North),3600702
36,00703,Onondaga County (Central)--Syracuse City (Outer),3600703
36,00704,Cayuga & Onondaga (South) Counties,3600704
36,00800,Wayne & Seneca Counties,3600800
36,00901,Monroe County (East),3600901
36,00902,Monroe County (Central)--Rochester City (East),3600902
36,00903,Monroe County (Central)--Rochester City (West),3600903
36,00904,Monroe County (Central)--Greece & Gates Towns,3600904
36,00905,Monroe County (North & West),3600905
36,00906,Monroe County (South),3600906
36,01000,Genesee & Orleans Counties,3601000
36,01101,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area,3601101
36,01102,Niagara County (North & East),3601102
36,01201,Erie County (Northwest),3601201
36,01202,Erie County (North Central),3601202
36,01203,Erie County (Northeast),3601203
36,01204,Erie County (Central),3601204
36,01205,Erie County (West Central)--Buffalo City (East),3601205
36,01206,Erie County (West Central)--Buffalo City (West),3601206
36,01207,Erie County (South),3601207
36,01300,Livingston & Wyoming Counties,3601300
36,01400,Ontario & Yates Counties,3601400
36,01500,Madison & Cortland Counties,3601500
36,01600,Fulton & Montgomery Counties,3601600
36,01700,Schenectady County--Schenectady City,3601700
36,01801,Saratoga County (South & Central),3601801
36,01802,Saratoga County (Outer),3601802
36,01900,Rensselaer County--Troy City,3601900
36,02001,Albany County (East Central)--Albany City,3602001
36,02002,Albany County (Outside Albany City),3602002
36,02100,Columbia & Greene Counties,3602100
36,02201,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village,3602201
36,02202,Broome (Outer West) & Tioga Counties,3602202
36,02203,"Chenango, Delaware & Broome (East) Counties",3602203
36,02300,Tompkins County,3602300
36,02401,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities,3602401
36,02402,"Steuben (North & West), Schuyler & Chemung (North) Counties",3602402
36,02500,Cattaraugus & Allegany Counties,3602500
36,02600,Chautauqua County,3602600
36,02701,Sullivan & Ulster (West) Counties,3602701
36,02702,Ulster County (East),3602702
36,02801,Dutchess County (North & East),3602801
36,02802,Dutchess County (Southwest),3602802
36,02901,Orange County (Northeast)--Greater Newburgh City,3602901
36,02902,Orange County (Northwest),3602902
36,02903,Orange County (Southeast),3602903
36,03001,Rockland County (North)--New City & Congers,3603001
36,03002,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns",3603002
36,03003,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey",3603003
36,03101,Putnam County,3603101
36,03102,Westchester County (Northwest),3603102
36,03103,Westchester County (Northeast),3603103
36,03104,Westchester County (Southeast),3603104
36,03105,Westchester County (Central)--White Plains City,3603105
36,03106,Westchester County (Southwest)--Yonkers City,3603106
36,03107,Westchester County (South Central)--New Rochelle & Mount Vernon Cities,3603107
36,03201,Nassau County (Northwest)--North Hempstead Town (North),3603201
36,03202,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City,3603202
36,03203,Nassau County (East Central)--Oyster Bay Town (Central),3603203
36,03204,Nassau County (West Central)--North Hempstead Town (South),3603204
36,03205,Nassau County (West Central)--Hempstead Town (Northwest),3603205
36,03206,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor,3603206
36,03207,Nassau County (Central)--Hempstead Town (Northeast),3603207
36,03208,Nassau County (Southeast)--Oyster Bay Town (South),3603208
36,03209,Nassau County (Central)--Hempstead Town (East Central),3603209
36,03210,Nassau County (South Central)--Hempstead Town (Southeast),3603210
36,03211,Nassau County (West Central)--Hempstead Town (West Central),3603211
36,03212,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City,3603212
36,03301,Suffolk County (Northwest)--Huntington Town (North),3603301
36,03302,Suffolk County (Northwest)--Huntington Town (South),3603302
36,03303,Suffolk County (Northwest)--Smithtown Town,3603303
36,03304,Suffolk County (North Central)--Brookhaven Town (North),3603304
36,03305,Suffolk County (East),3603305
36,03306,Suffolk County (South Central)--Brookhaven Town (South),3603306
36,03307,Suffolk County (Central)--Brookhaven Town (Central),3603307
36,03308,Suffolk County (Central)--Brookhaven Town (West Central),3603308
36,03309,Suffolk County (Central)--Islip Town (East),3603309
36,03310,Suffolk County (Central)--Islip Town (Northwest),3603310
36,03311,Suffolk County (Southwest)--Islip Town (South),3603311
36,03312,Suffolk County (Southwest)--Babylon Town (Southeast),3603312
36,03313,Suffolk County (West Central)--Babylon Town (Northwest),3603313
36,03701,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge",3603701
36,03702,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn",3603702
36,03703,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville",3603703
36,03704,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia",3603704
36,03705,"NYC-Bronx Community District 3 &6--Belmont, Crotona Park East & East Tremont",3603705
36,03706,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood",3603706
36,03707,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope",3603707
36,03708,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden",3603708
36,03709,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester",3603709
36,03710,"NYC-Bronx Community District 1 &2--Hunts Point, Longwood & Melrose",3603710
36,03801,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill",3603801
36,03802,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem",3603802
36,03803,NYC-Manhattan Community District 10--Central Harlem,3603803
36,03804,NYC-Manhattan Community District 11--East Harlem,3603804
36,03805,NYC-Manhattan Community District 8--Upper East Side,3603805
36,03806,NYC-Manhattan Community District 7--Upper West Side & West Side,3603806
36,03807,"NYC-Manhattan Community District 4 &5--Chelsea, Clinton & Midtown Business District",3603807
36,03808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town",3603808
36,03809,NYC-Manhattan Community District 3--Chinatown & Lower East Side,3603809
36,03810,"NYC-Manhattan Community District 1 &2--Battery Park City, Greenwich Village & Soho",3603810
36,03901,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale",3603901
36,03902,NYC-Staten Island Community District 2--New Springville & South Beach,3603902
36,03903,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor",3603903
36,04001,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg,3604001
36,04002,NYC-Brooklyn Community District 4--Bushwick,3604002
36,04003,NYC-Brooklyn Community District 3--Bedford-Stuyvesant,3604003
36,04004,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene,3604004
36,04005,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook",3604005
36,04006,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights,3604006
36,04007,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill,3604007
36,04008,NYC-Brooklyn Community District 5--East New York & Starrett City,3604008
36,04009,NYC-Brooklyn Community District 18--Canarsie & Flatlands,3604009
36,04010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby",3604010
36,04011,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate",3604011
36,04012,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace,3604012
36,04013,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights,3604013
36,04014,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",3604014
36,04015,NYC-Brooklyn Community District 14--Flatbush & Midwood,3604015
36,04016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest",3604016
36,04017,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach,3604017
36,04018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island,3604018
36,04101,NYC-Queens Community District 1--Astoria & Long Island City,3604101
36,04102,NYC-Queens Community District 3--Jackson Heights & North Corona,3604102
36,04103,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone",3604103
36,04104,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck",3604104
36,04105,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale",3604105
36,04106,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest",3604106
36,04107,NYC-Queens Community District 4--Elmhurst & South Corona,3604107
36,04108,NYC-Queens Community District 6--Forest Hills & Rego Park,3604108
36,04109,NYC-Queens Community District 2--Sunnyside & Woodside,3604109
36,04110,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village",3604110
36,04111,NYC-Queens Community District 9--Richmond Hill & Woodhaven,3604111
36,04112,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans",3604112
36,04113,NYC-Queens Community District 10--Howard Beach & Ozone Park,3604113
36,04114,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel",3604114
37,00100,"Boone High Country--Watauga, Ashe, Yancey, Avery & Mitchell Counties",3700100
37,00200,"Wilkesboro High Country--Surry, Wilkes & Alleghany Counties",3700200
37,00300,Rockingham & Stokes Counties,3700300
37,00400,"Granville, Person & Caswell Counties",3700400
37,00500,"Franklin, Vance & Warren (West) Counties",3700500
37,00600,"Halifax, Hertford, Northampton & Warren (East) Counties",3700600
37,00700,Northeast Albemarle Sound Region,3700700
37,00800,South & West Albemarle Sound & Northern Outer Banks Regions,3700800
37,00900,Nash & Edgecombe Counties--Rocky Mount City,3700900
37,01000,Wilson & Greene Counties--Wilson City,3701000
37,01100,Johnston County,3701100
37,01201,Raleigh City (South & Central),3701201
37,01202,Raleigh City (North),3701202
37,01203,"Wake County (Northeast)--Raleigh City (Northeast), Wake Forest & Rolesville Towns",3701203
37,01204,"Wake County (East)--Raleigh City (East), Knightdale & Garner (North) Towns",3701204
37,01205,Wake County (Southeast)--Garner (South) & Fuquay-Varina Towns,3701205
37,01206,Wake County (Northwest)--Raleigh City (Northwest) & Morrisville Town,3701206
37,01207,Wake County (West Central)--Cary Town,3701207
37,01208,Wake County (Southwest)--Apex & Holly Springs Towns,3701208
